TTO	Trinidad and Tobago	1930	3,646	3.646	412945
GBR	United Kingdom	1823	46,874	46.874	16912988
SSD	South Sudan	2004	0,954	0.954	7213000
CRI	Costa Rica	2012	7,178	7.178	4688000
POL	Poland	1853	4,316	4.316	13651671
TUN	Tunisia	2015	29,275	29.275	11180000
ROU	Romania	2012	86,534	86.534	20227000
MEX	Mexico	1893	0,531	0.531	12379454
PRT	Portugal	1889	1,572	1.572	4989341
FRA	France	1866	53,56	53.56	37846184
AUT	Austria	1901	28,363	28.363	6041260
LBR	Liberia	1965	0,557	0.557	1245000
JPN	Japan	1998	1205,59	1205.59	127117000
CHL	Chile	2013	81,692	81.692	17572000
USA	United States	1879	175,469	175.469	50223580
BRA	Brazil	1967	66,079	66.079	88036000
IRL	Ireland	2012	38,179	38.179	4608000
IND	India	1890	4,829	4.829	232819584
SRB	Serbia	1977	39,162	39.162	8663000
TUN	Tunisia	1982	9,493	9.493	6741000
LAO	Laos	1972	0,487	0.487	2841000
NOR	Norway	1915	8,449	8.449	2496684
SLE	Sierra Leone	2002	0,534	0.534	4966000
NOR	Norway	1972	29,395	29.395	3934000
ALB	Albania	1959	1,444	1.444	1589000
LBR	Liberia	1969	1,271	1.271	1367000
DNK	Denmark	1886	2,429	2.429	2207545
EGY	Egypt	1996	93,568	93.568	63602000
BRA	Brazil	1972	114,014	114.014	99859000
BLZ	Belize	1980	0,191	0.191	144000
NRU	Nauru	2011	0,04	0.04	10000
MUS	Mauritius	1975	0,59	0.59	892000
SUR	Suriname	1974	1,601	1.601	362000
GTM	Guatemala	1973	2,934	2.934	6105000
ROU	Romania	2018	74,061	74.061	19506000
GEO	Georgia	2001	3,734	3.734	4297000
DNK	Denmark	1945	14,044	14.044	4047500
HTI	Haiti	1995	0,876	0.876	7745000
CAN	Canada	1917	85,243	85.243	8260456
MEX	Mexico	1983	277,667	277.667	72709000
BGD	Bangladesh	1980	7,597	7.597	79639000
MAR	Morocco	1973	9,626	9.626	17049000
KHM	Cambodia	1990	1,26	1.26	8976000
WSM	Samoa	2013	0,198	0.198	191000
VEN	Venezuela	1966	56,974	56.974	10023000
CAN	Canada	1821	0,004	0.004	902652
ITA	Italy	1965	189,528	189.528	51677000
TON	Tonga	1960	0,011	0.011	62000
KEN	Kenya	2017	18,057	18.057	50221000
ARG	Argentina	1915	6,94	6.94	8069762
BEL	Belgium	1985	104,005	104.005	9917000
JOR	Jordan	1988	9,177	9.177	3257000
TTO	Trinidad and Tobago	2005	38,06	38.06	1296000
EGY	Egypt	1944	4,36	4.36	18820684
BHS	Bahamas	1971	6,724	6.724	174000
ESP	Spain	1966	77,617	77.617	32492000
GBR	United Kingdom	1765	10,988	10.988	
PHL	Philippines	2011	83,744	83.744	95570000
TUN	Tunisia	1980	9,465	9.465	6374000
DZA	Algeria	1965	6,589	6.589	12551000
EST	Estonia	1932	0,015	0.015	932644
GIN	Guinea	1970	0,791	0.791	4155000
MUS	Mauritius	2018	4,855	4.855	1267000
MAR	Morocco	1949	1,088	1.088	8825229
MMR	Myanmar	1946	0,007	0.007	16914366
ETH	Ethiopia	1998	3,147	3.147	62508000
IND	India	1910	25,696	25.696	253761200
ISR	Israel	2016	63,889	63.889	8109000
NLD	Netherlands	1999	170,993	170.993	15836000
ALB	Albania	1964	2,015	2.015	1844000
IDN	Indonesia	1904	3,367	3.367	40105308
ARG	Argentina	1924	10,959	10.959	10050859
MUS	Mauritius	2001	2,862	2.862	1194000
LUX	Luxembourg	1968	12,259	12.259	336000
MAR	Morocco	1939	0,319	0.319	7584470
NLD	Netherlands	1933	38,571	38.571	8232096
KGZ	Kyrgyzstan	1980	20,6	20.6	3611000
PER	Peru	1965	11,952	11.952	11711000
AZE	Azerbaijan	1973	39,261	39.261	5483000
ZWE	Zimbabwe	1997	14,294	14.294	11653000
IRN	Iran	2003	413,993	413.993	68123000
MYS	Malaysia	1919	0,769	0.769	3454571
VNM	Vietnam	2016	183,491	183.491	93640000
LBN	Lebanon	2006	14,792	14.792	4760000
GBR	United Kingdom	2018	379,04	379.04	67142000
GMB	Gambia	1996	0,22	0.22	1164000
VUT	Vanuatu	1986	0,059	0.059	133000
NLD	Netherlands	1980	176,632	176.632	14148000
SOM	Somalia	1982	0,718	0.718	6608000
NGA	Nigeria	2001	86,717	86.717	125394000
FIN	Finland	1900	0,601	0.601	2633387
AGO	Angola	1963	1,15	1.15	5679000
GBR	United Kingdom	1997	562,299	562.299	58307000
STP	Sao Tome and Principe	1964	0,011	0.011	64000
DEU	Germany	1839	7,02	7.02	30733332
QAT	Qatar	1958	0,169	0.169	42000
CHE	Switzerland	1957	17,701	17.701	5068000
BLZ	Belize	1984	0,172	0.172	160000
NOR	Norway	1857	0,304	0.304	1528148
CHL	Chile	1993	34,259	34.259	13945000
AUS	Australia	1896	4,503	4.503	3516129
LBY	Libya	1958	0,352	0.352	1358000
SEN	Senegal	2011	7,819	7.819	13034000
ATG	Antigua and Barbuda	1972	0,374	0.374	64000
UZB	Uzbekistan	2010	103,581	103.581	28516000
MDV	Maldives	2011	0,986	0.986	380000
HTI	Haiti	2008	2,366	2.366	9647000
MNE	Montenegro	2007	2,056	2.056	620000
USA	United States	1962	2984,002	2984.002	192314000
NLD	Netherlands	1934	38,63	38.63	8335743
WSM	Samoa	1962	0,018	0.018	116000
BGR	Bulgaria	1940	4,1	4.1	6672496
CAN	Canada	1927	91,999	91.999	9875173
MLT	Malta	1978	0,934	0.934	327000
NIU	Niue	1978	0,004	0.004	4000
USA	United States	1961	2877,37	2877.37	189570000
